ID,Character,Gender,Turkish,MSA,Syrian_Arabic
134,Selim,Male,"Lan,  sen benim karımı nasıl tanımıyorsun ha?",كيف لا تعرف أن هذه زوجتي؟,ولى . أنتَ كيف بتمسك إيد مرتي اه؟ !
135,Zeynep,Female,Ya yeter delirdin mi sen?,يا كفى هل جننت؟,لا تزودها جنيت سليم ؟
136,Selim,Male,Seni bir daha Zenirin yanında görürsem,"إذا رأيتك بجانب زينير مرة أخرى
",إذا بشوفك عم تتقرب من زينب . لا تلوم إلّا حالك
137,Zeynep,Female,"Ya niye anlamak istemiyorsun?  Ben sana yalan söylemedim.  Yemek vardı, iptal oldu.",لماذا لا تفهم؟ لم أكذب عليك.  كان هناك عشاء، لكنه ألغي.,ليش مصّر أنك ما تفهم ما كذبت عليك فعلاً كان هادا غدا شغل . وبعدين التغى
138,Selim,Male,Karşıma geçmiş kendini sanıyorsun şimdi.,تقفين أمامي وتظنين الآن.,كل شي واضح خلص لا تدافعي عن حالك
139,Zeynep,Female,Ağzından çıkanı kulağın duyuyor mu sen?  Ne saçmalıyorsun ya?,هل تسمع نفسك؟ ما هذه الحماقات؟,أنتَ سامع حالك شو عم تحكي لك شو هالتخبيص هاد ؟ !
140,Zeynep,Female,"İş yemeği diyorum ya, iş yemeğini anlamıyorsun!",أقول عشاء عمل، لا تفهم معنى عشاء العمل! ,عم قلك إنو كان غدا شغل ليش ما عم تفهمني ليش؟
141,Selim,Male,İşe gitme.  Bırak dedim de sen beni dinlemedin Zeynep.,لا تذهبي للعمل.  قلت اتركي لكنك لم تستمعي إلي زينب.,لما سألتك . ليش ما قلتيلي الحقيقة زينب ليش ؟
142,Zeynep,Female,Görüyorum ki sen beni hiç tanımamışsın.  Bana hiç güvenmemişsin.,أرى أنك لم تعرفني أبدًا.  لم تثق بي أبدًا. ,وتأكدت بعد اللي صار معنا اليوم . أنو ما رح تزبط أبداً
143,Zeynep,Female,Sen sözlerinle benim kalbimi paramparça ettin.,بكلماتك حطمت قلبي بالكامل. ,الإنسان بحس بالإهانة اكتر لما يكون الشخص بعز عليه
144,Zeynep,Female,"Seni hak edecek,  senin başına eğecek hiçbir şey yapmadım.",لم أفعل شيئًا لأستحقك أو أخفض رأسي لأجلك. ,إنتا كسرت قلبي بكلامك وأنا ما بستاهل اللي ساويتو فيني اليوم
145,Yusuf,Male,Sen burada bekle ben şimdi geliyorum.,انتظري هنا وأنا سأعود الآن. ,استني عندك شوي وراجع
146,Yusuf,Male,Bu anahtar olduğuna emin misin?,هل أنت متأكد أنها المفتاح؟ ,متأكدة إنو هاد المفتاح المزبوط ؟
147,Tülay,Female,Bak nihayetinde burası senin de evin,انظري في النهاية هنا هو منزلك أيضًا,شوفي . أنتِ اجيتي لهون على بيت أبوكي بالنهاية
148,Aliya,Female,Hadi yavrum Allah rahatlık versin.,هيا يا صغيرتي، الله يمنحك الراحة.,يلا حبيبتي . نشالله نوم الهنا
149,Aliya,Female,Sen Melekle konuştun mu oğlum?  Yok.,هل تحدثت مع ملاك يا بني؟ لا.,سليم . ملك اتصلت فيك اليوم ؟
150,Aliya,Female,İnat etme oğlum.  O senin karın.,لا تُعنِد يا بني. إنها زوجتك.,لا تعاندني . هي مرتك
151,Yusuf,Male,Bak ben senin düşmanın değilim.,انظري، أنا لست عدوك.,لازم تعرفي اني مو عدوك
152,Yusuf,Male,Sadece senin iyi olman için.,فقط لكي تكوني بخير.,بس مشان تكوني انتي بخير
153,Yusuf,Male,Bana inanmak için seni zorlamayacağım.,لن أضغط عليك لتصدقي فيني.,لو بدي اؤذيكي ليش ما عملت شي هلأ
154,Yusuf,Male,Seni şu anda hayatta olmalı.,أن تكوني على قيد الحياة الآن.,انك عايشة ومنيحة هلأ
155,MAN A 502,Male,Ya ölü müsın hırsız mısın yürü git işine kardeşim ya.,هل أنت ميت يا أخي أم لص، اذهب بعيدًا.,لاتواخذني ما بعرفك ولا بعرف شو عم تعمل مافيني ساعدك؟
156,Elif,Female,Kesin annemin başına bir şey geldi.,بالتأكيد حدث شيء لأمي.,سمعني امي  اكيد صاير معها شي مو منيح
157,Selim,Male,Onu bulur bulmaz getireceğim merak etme sen.,سأعيدها فور العثور عليها، لا تقلقي.,اطمني وروحي نامي لاتخافي اتفقنا ؟
158,Selim,Male,Yok anne yok.  Sen başlarına dur.,لا يا أمي، لا. أنت ابقي معهم.,لا امي انتي . خليكي معهن
159,Yusuf,Male,Bunu duysun örtersin.  Hava çok soğuk.  Üşümezsin.,يمكنك أن تغطي نفسك. الطقس بارد جداً. لكي لا تشعر بالبرد.,تغطي بهالحرام . الجو بارد كتير
160,Selim,Male,Bir daha sorunsa olmayacağım sana.  Ne yaptın ona söyle ne yaptın?,لن أكون موجودًا لأي مشكلة أخرى معك. ماذا فعلت لها قل لي ماذا فعلت؟,هي آخر مرة بسألك . شوعملتلها قلي  شو عملت؟
161,Yusuf,Male,Tövbe de kilitli kaldık diyorum sana.,أقول لك تم حبسنا توبوا إلى الله.,شبك انت ليش مصر تتهمني
162,Selim,Male,Niye sürekli karşımıza çıkıyorsun sen ha?,لماذا تستمر في مواجهة طريقتنا ها؟,يعني نحنا ما رح نخلص منك بقى؟
163,Melek,Female,Selim lütfen biraz sakin olur musun?,سليم من فضلك هل يمكنك أن تهدأ قليلاً؟,يا سليم مشان الله اهدا هو ما عملي شي
164,Selim,Male,Sus!  Senin o ağzından çıkan hiçbir kelimeye inanmıyorum ben sus!,اصمت! لا أصدق أي كلمة تخرج من فمك، اصمت!,خراس . خليك ساكت احسن ما اجي كمل عليك هلأ سكوت بقى
165,Yusuf,Male,Eğer biraz sakin olabilseydin sana gerçekleri anlatabilirdim.,لو كنت هادئاً قليلاً لأستطعت أن أخبرك بالحقيقة.,اذا بدك تضل هيك ما رح تفهم شو صار اهدا خليني اشرحلك
166,Selim,Male,Sana inanmam için hiçbir sebep yok!,لا يوجد سبب لأصدقك!,مافي شي بيبرر اللي عملتو
167,Melek,Female,Senin Yusuf benim hayatımı kurtardı.,يوسف أنقذ حياتي.,سليم  يوسف هوه اللي  انقذ حياتي
168,Selim,Male,Abla o zaman şimdi hastaneye gidiyoruz.  Zehirlenmiş olabilirsin.,أختي إذاً الآن نذهب إلى المستشفى. قد تكونين قد تسممت.,لكن هلأ . لازم نروح على المستشفى . ممكن تكوني تسممتي
169,Selim,Male,Hayır niye ona minnettar gibi konuşuyorsun anlamadım ben.,لا أستطيع فهم لماذا تتحدثين إليه وكأنك ممتنة له.,وانتي كيف بتصدقي هالحكي  فوراً ما عم افهم
170,Orhan,Male,Müzevi bir ruh gibiydin.  Nefes alıyordun ama.,كنت كروح منعزلة. كنت تتنفس، لكن.,بتضل عايش مع حالك . عم تتنفس بس
171,Orhan,Male,Şimdi ama bir şeyler için uğraşıyorsun.,لكن الآن، تحاول من أجل شيء.,وهلأ مابعرف ليش عم تعذب حالك عالفاضي
172,Orhan,Male,Kendi ruhunu bile tamir edemezken  başkalarına yardım etmeye çalışıyorsun.  Ve bu seni ayaklamıştır.,تحاول مساعدة الآخرين بينما لا تستطيع حتى إصلاح روحك. وهذا أبقاك على قيد الحياة.,لهلأ عم تضيع عمرك وانت عم تحاول تساعد الناس كأنو انت المسؤول عنن
173,Yusuf,Male,Yaptıklarına nasıl sessiz kalabilirim ki sen söyle.,كيف يمكنني أن أظل صامتاً على ما يقومون به، أخبرني أنت.,كيف بدك ياني شوفها شو عم تعمل وضل ساكت
174,Melek,Female,"Selimciğim,  duydun mu?  Bak sıkıntı edecek bir şey yokmuş.",سليم، هل سمعت؟ لا يوجد شيء يدعو للقلق. ,صدقتني . قلتلك مافيني شي مو مستاهله تجيب الدكتور ؟
175,Selim,Male,Doktor Beyi duydun değil mi?,سمعتِ الدكتور، أليس كذلك؟ ,سمعي شو حكى الدكتور
176,İsal,Female,Bahriye abla sen hala neyin peşindesin?,بهريه أختي، على ماذا تسعين الآن؟ ,اختي بهرية شبك ليش متحططه عليها ؟
177,Behriye,Female,Kadın sabaha kadar alem yapmış yahu.,المرأة احتفلت حتى الصباح يا رجل. ,يعني المرة عايشة هون كأنها سلطانة زمانها
178,Orhan,Male,Hayırdır sabah sabah dalmışsın yine derinlere?,خيراً لك في الصباح تغوص في أعماق جديدة؟ ,خير نشالله شايفك شارد وغرقان  شو صاير من الصبح  ؟
179,Orhan,Male,Sana şunu vereyim de.  Hadi Neşen yerine gelsin.,سأعطيك هذا. هيا، ابتسم وكن سعيداً. ,اعطيك ياها ولا لا . يلا المعاملة مع الله
180,Orhan,Male,Bir iki lokma bir şey sonra gidersin kaçmaya.,تناول لقمة أو اثنتين ثم يمكنك الذهاب. ,ليش هيك تحرقصت . طول بالك ما رح يهرب
181,Ümit,Male,Yine sana bakınca her şeyi unuttum.  Hadi gel kahvaltıya başlayalım.,عندما أنظر إليك أنسى كل شيء. هيا لنبدأ الفطور. ,لما شوفك بنسا كل شي . يلا تعي ناكل سوا
182,Ümit,Male,Sadece sen ve ben.  Artık unut bunları.,فقط أنت وأنا. انس هذه الأمور الآن. ,انا وياكي لحالنا . خلينا نفطر ع رواق
183,Emrah,Male,Seni kaybetmekten korkması çok normal.,من الطبيعي أن يخاف من فقدانك.,هو حس انو رح يخسرك فهالشي طبيعي
184,Arzu,Female,Delisin sen ya.  Ya öyle ama,أنت مجنونة يا. على الرغم من ذلك,أنت مجنون عنجد
185,Ümit,Male,Kadın GYS sorularını bile kendi hazırlıyor yazık.,امرأة تقوم حتى بكتابة أسئلة امتحان الكنة بنفسها للأسف.,والله جد هي  . مجهزة اسئلة امتحان كمان تخيلي !
186,Ümit,Male,Ne işin var senin burada?  Ne yapıyorsun lan?,ما الذي تفعله هنا؟ ما الذي تفعله أيها الأحمق؟,انت شو عم تعمل هون . لوين فايت
187,Ümit,Male,Evimden hemen çıkıp gideceksin şimdi.,ستخرج فوراً وتغادر بيتي الآن.,احميل حالك و طالع من بيتي فورا
188,Yusuf,Male,Benim derdim sensin Arzu Karabınar.,مشكلتي هي أنتِ يا أرزو كارابينار. ,انتي هيي مشكلتي يا أرزو كارابينار
189,Yusuf,Male,kafamın bir köşesine yaz bence.  Sen kimsin?,أعتقد أن تكتبي هذا في زاوية عقلك. من تكونين؟ ,وما بتعرفي شو ممكن ساوي فيكي
190,Arzu,Female,"Kapıma dayanın, benden hesap soramazsın.",لا يمكنك المجيء إلى بابي ومساءلتي. ,أبداً ما فيك . ولا بسمحك . تحكي معي بهي الطريقة
191,Yusuf,Male,Duymak istemiyorsan o zaman ona göre davranacaksın.,إذا كنت لا تريدين أن تسمعي إذا فتصرفي accordingly. ,لكن اذا هيك اتصرفي متل ما عم قلك
192,Yusuf,Male,Senin gibi insanlıktan nasibini almamış.,لأمثالك ممن لم يتعلموا الإنسانية. ,اذا وحدة متلك بلا ضمير و اخلاق
193,Ümit,Male,"Bana bak,  bir defa olup gideceksin benimle tamam mı?",انظر إليّ، مرة واحدة وستبقى معي، فهمت؟ ,اطلع فيني . انقلع من بيتي فوراً تمام .
194,Yusuf,Male,"Bu zamana kadar Adaletten,  hukuktan kaçmış olabilirsin.",حتى الآن قد تكون تجنبتِ العدالة والقانون. ,صحيح انتي قدرتي تهربي من العدالة و ما تعاقبتي هالمرة
195,Yusuf,Male,Kendini içeride bulursun Arzu Karabınar.,"ستجدين نفسك في الداخل أرزو كارابينار.
",رح تلاقي حالك بالسجن يا ارزو كارابينار
196,Melek,Female,Sağ ol annen zahmet etmişsin.,شكراً أمي، لقد أزعجتك. ,يسلمو ماما عذبتي حالك
197,Feride,Female,"Abla, seni çok merak ettim.",أختي، لقد كنت قلقة عليك جداً. ,حبيبتي . ما بتصدقي ادي قلقت عليكي .
198,Melek,Female,Fezlecim durumu Cevahir Beye bildiriyor musun sen?,هل يمكنك إخبار السيد جواهر عن وضعي يا عزيزتي فزلة؟ ,فريدة حبيبتي . بتقدري تحكي لجواهر بيك عن وضعي ؟
199,Feride,Female,Ablacığım ben çok tutmayayım seni.  Hadi sen de git yat.  Konuşuruz yine.,أختي، لا أريد أن أحتجزك طويلاً. هيا اذهبي للنوم. سنواصل حديثنا لاحقًا. ,حبيبتي . ما بدي طول عليكي روحي ارتاحي يلا . ومنحكي بعدين
200,Behriye,Female,Ne bakıyorsun öyle dik dik?  Yalan mı söylüyorsun?,لماذا تنظرين إلي هكذا؟ هل أكذب؟ ,ليش هيك عم تطلعي عليي لكون عم كذب مثلا .
201,Behriye,Female,Bak sen burada çalışacağım diye bir taraflarını  yırtarken kadın orada tatil yapıyor şekerim.,انظري بينما تحاولين تمزيق نفسك للعمل هنا، تلك المرأة تستجم هناك يا سكر. ,حبيباتي ليكوا هلئ كيف انتوا بقيتوا لحالكون و هي بالبيت قاعدة وعم ترتاح آخر همها الشغل .
202,Behriye,Female,Ayol uyanamıyorum.  Uyanamıyorum.  Bu kadın sizi çiziyor.,يا الله لا أستطيع أن أفيق. لا أستطيع أن أفيق. تلك المرأة تخربكم. ,لك فيقوا بقى فيقوا حاجة . هي المرا عم تضحك عليكون صدقوني  .
203,Feride,Female,Sen Melek ablayı kendine karıştırma istersen.,من الأفضل ألا تقحمي ملاك أختي في أمورك. ,في مجال ما تجيبي سيرة اختي ملك ع لسانك  ؟
204,Behriye,Female,Sen kendini ne sanıyorsun yelloz?  Bu ne biçim hareket böyle?,من تظنين نفسك، يا فتاة سيئة؟ ما هذا السلوك؟ ,انتي مين مفكرة حالك وليه شلون بتتجرأي تحكي معي بهالطريقة
205,İsal,Female,bir canına benzerim görmüyor musun?,ألا ترين أني أضع حياتي في خطر؟ ,اهدي
206,Aliya,Female,Kızım Dün gece konuşmak istemedin ama Bana dert oldu,ابنتيلم تريدي الحديث البارحة الليل لكنلي أصبح قلق. ,بنتي . مبارح ما كان بدي ازعجك  بس . حسيت في شي .
